id,ushio,kageyama,katou,saitou,sasaki_kumi,sasaki_mirei,takase,takamoto,higashimura,kanemura,kawata,kosaka,tomita,nibu,hamagishi,matuda,miyata,watanabe,kamimura,takahashi,morimoto,yamaguchi
396,,,,,1,,,,,,,2,,,,,,,,,,
397,,,,,,,,,,,,,1,2,,,,,2,,,
398,,,,1,,2,2,2,2,,,,,,,,,,,,,
399,,,,,,,,,,,,,,1,,2,,,,,,
400,,,1,,,,,,2,,,,,,,,,,,,,
401,,,2,,1,,,,,,,,,,,,,,,,,
402,,,,,,2,1,,,,,,,,,,,,,,,
403,,,,2,,1,,,2,,,,,,,,,,,,,
404,2,,,,,,,1,,,,,,,,2,,,,,,
405,,,,,1,,,,,,,,2,,,,,,,,,
406,,,,,,,,,,,,1,,,,,2,,,,,
407,,,,,,1,,,,,,2,,,,,,,2,,,
408,,1,,,,,,,,2,,,,,,,,,,,,
409,,,,1,2,,,,,,,,,,,,,,,,,
410,,,1,,,2,,,,,,,,,,,,,,,,
411,1,,,,,,2,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,2,1,
413,,,,,,,,,,,1,,,,,,2,,,,,
414,,,,,,,,,,1,,,2,,,,,,,,,
415,,1,,,,,,,,,,,,,,,,2,,,,
416,,,2,,,,,,,,2,,,1,,,,,,,,
417,,1,,,,,,,,2,,,,,,,,,,,,
418,,,1,,,,,,2,,,,,,,,,,,,,
419,,,,,1,,,2,,,,,,,,,,,,,,
420,,,,,,,,,1,,,,,,2,,,,,,,
421,1,,2,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,2,,1
423,,,,,,,,,,,,1,,,,,,,2,,,
424,,,,,1,2,,,,,,,2,,,,,,,,,
425,1,,,,,,,,,,,2,,,,,,,,,,
426,,1,,,,,,,,2,,2,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,1,,2
428,,,2,,,1,2,,,,,,,,,,,,,,,
429,,,,,,,,,1,,,,,,,,,,2,,,
430,,,,,,,,,,,2,,,,,1,,,,,,
431,,,,2,,,,1,,,,,,,,,,,,,,
432,1,,,,,,,,,,,,,,,2,,,,,,
433,,,,,,,,,,,,,,,,,,,,,2,1
434,,,,,,,,,,,1,,2,,,,,,,,,
435,,2,,,,,,,1,,,,,,,,,,,,,
436,,,,2,2,,,2,2,,,,,,,1,,,,,,
437,1,,,,,,,,,,,2,,,,,,,2,,,
438,2,,,,2,,,,2,,,,,,,1,,,,,,
439,,,,,,,,,,2,,,,,,,,1,,,,
440,,,1,2,,,,,,,,,,,,,,,,,,
441,1,,,,,,,,,,2,,,,,,,,,,,
442,,,,,,2,,,1,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,1,2,,
444,,,,,,,,,,,,,,,,,,,1,,2,
445,,,,,,,2,,,,,,,,,,,1,,,,
446,,,,,,,,,,,,2,,,,,,,1,,,
447,1,,,,2,2,,,,,,,,,,,,,,,,
448,,,1,,,,,,2,,,,,,,,,,,,,
449,1,,,,,,,,,,,,,,,,2,,,,,
450,,,,,,,,,,,,,,,1,2,,,,,,
451,,,,,,,,,,,,,1,,,,,2,,,,
452,,,,,,,,,,,,2,,,,,,1,,,,
453,,,,,,,,,,,2,,1,2,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,1,2
455,,,,,,,,2,,,1,,,,,,,,,,,
456,,,2,,2,,,,1,,,,,,,,,,,,,
457,,,,,,,,,,,,1,,2,,,,,,,,
458,,,,,,2,,2,,1,,,,,,,,,,,,
459,,,,,1,2,,,,,,2,,,,,,,,,,
460,,,,,,,,,,2,,,,,,,1,2,,,,
461,2,,2,,,,,,,,2,,,,,,,,1,,,
462,,,,,1,,,,,,,2,,,,,,,,,,
463,,,,,1,,,,,,,,,,,2,,2,,,,
464,,,,,,2,,,,,,,,1,,,,,,,,
465,1,,,,,,,,,,2,,,,,,,,,,,
466,,,,,2,2,,2,2,,,,,2,,1,,2,,,,
467,,,,2,1,,,,2,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,2,1,,
469,,1,2,,,,,,,,,,,,,,,,,,,
470,1,2,,,,,,,,,2,,,,,,,,,,,
471,,,,,,,,,,,2,,,,,2,,,1,,,
472,,,,,,,,,,2,,,,,,,,1,,,,
473,,,,,,,,,,,,1,,2,,,,,,,,
474,,1,,,,2,,,,,,,,,,,,,,,,
475,1,,,,,,,,,,,,,,,,,,2,,,
476,,,,,,1,2,,,,,,,,,,,,,,,
477,1,,,,,,,,,,2,,,,,,,,,,,
478,1,,,2,2,,,,2,,,,,,,,,,,,,
479,1,,2,,,,,,,,,,,,,,,,,,,
480,,,,,,1,,,,2,,,,,2,,,,,,,
481,1,,,2,,,,,,,,,,,,,,,,,,
482,,,,,,,,1,2,,,,,,,,,,,,,
483,2,1,,,,,,,,,,,,,,,,,,,,
484,,,1,,2,,,,,,,,,,,,,,,,,
485,,2,,,,,,,,,,,,,1,,,,,,,
486,,,2,,1,,,,,,,,,,,,,,,,,
487,1,,,,,,,2,,,2,,,,,,,,,,,
488,,,,,,,,,,2,,,1,,,,,,,,,
489,,,,,,1,2,,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,,,,,,,1,2
491,1,,,2,,,,,,,2,2,,2,,,,,,,,
492,,,,,,,,,,,,,,1,,,,2,,,,
493,,,,,,,,,,1,,,2,,,2,,,,,,
494,,1,,,,,,,,,,2,,,,,,,,,,
495,,,2,,,,1,,,,,,,,,,,,,,,
496,,,,2,,2,,,,,1,,,,,,,,,,,
497,,,,,,,,2,2,,,,,,,1,,,,,,
498,,,,,,,,,,,,,1,,,,,2,,,,
499,,,2,,1,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,2,,,1,,,,2,,,,
501,,,,,,,,,,,,2,,,,,,,,,,1
502,,,,,,,,,,1,,,,2,,,,,,,,
503,,,,,1,,,,,,2,,,,,,,,,,,
